tick,agent_id,x,y,active_agents,messages_sent
7,fa9493cf-0222-4f1e-a617-8589ed3e336e,0,10,36,0
7,7386bd4e-d426-4e17-9fb2-62b1aac22a10,10,11,36,0
7,28308bb0-02f9-4b3e-8346-dfe160b30979,6,12,36,0
7,37cbbaf8-fde0-42a4-8b7a-ca0d919db8a9,10,8,36,0
7,7de39446-1668-47fb-a84b-7acc8b5def1d,4,11,36,0
7,1494c05b-28f1-4717-aaf0-8dbf2a17e2f1,19,7,36,0
7,e24b9ec9-21ee-4799-8277-81aa5ccf3303,4,4,36,0
7,2a286618-4b7b-4e08-9f64-e59b2e44e174,13,10,36,0
7,e1c61b57-456e-4478-a30b-60e7eb366cf1,5,10,36,0
7,a09da75d-f5f8-4870-ac7c-343b0c3e2e45,4,14,36,0
7,2171aba9-235c-4455-9872-4f20887502c0,9,16,36,0
7,746a32cd-fbb4-42d8-b2a2-5678a9f5cfb9,18,10,36,0
7,1263bcff-43d7-4dfa-b216-11729565feb0,8,15,36,0
7,5fa664f0-91cf-4804-862b-a46872f00ae2,19,6,36,0
7,e60fb399-e5b9-4fdd-9217-9b07e40a297a,16,16,36,0
7,8ae73084-ed3f-4e07-888a-f35d4b6b732d,16,6,36,0
7,cbba9ab1-b0e5-40f3-86f9-e26c47735833,14,4,36,0
7,cb790b06-54f5-4218-a549-78d1a30bfcdf,14,19,36,0
7,067566ce-d17d-4a2d-9ee1-e20a4542c844,2,6,36,0
7,3fcd3563-fffb-4fe2-b04c-20434ae4c55a,14,0,36,0
7,065d927a-5750-428d-b0ba-4c8fdd1b8a3a,3,4,36,0
7,298c54b4-72bf-423f-bac2-9472f474d36e,14,7,36,0
7,e45f1d6e-9ce0-4001-b322-4c87b0339918,12,12,36,0
7,be4458a4-ea19-44a8-a34f-c100b579345f,18,12,36,0
7,86155a73-2930-4405-b715-3d7391068753,5,4,36,0
7,bf4e4d38-75d0-4cca-ab93-cd7a6efcff24,16,8,36,0
8,3fb9d278-57ec-4088-8909-4e87133f92bd,13,3,35,0
8,87a672f3-db0f-4cde-9ba1-bc97ee5859f8,13,15,35,0
8,0b00bbbc-0fa5-417a-84c3-3e34274ba0f5,16,15,35,0
8,344bceaa-552c-4c5d-8d6f-bcb38bc14c35,7,15,35,0
8,d2a36b3a-2595-418a-b009-ffb1f11067ab,3,5,35,0
8,96d3db2f-8fbc-4f9a-908a-45c01431889f,8,7,35,0
8,2f155487-7a8a-4365-a969-da915436c18f,7,11,35,0
8,6b2699f6-6db4-4ffe-9947-3d8fa0b6893c,6,10,35,0
8,756b837a-2728-4401-ba2c-64631ec85886,6,9,35,0
8,0aeb9fdc-d2e4-4faf-a58f-40366838fde0,3,6,35,0
8,621b86f9-0d14-4826-9fbb-acab6d6112ed,1,7,35,0
8,2c74984d-86e3-441a-a4fe-3a9817de4810,15,16,35,0
8,95432033-70ac-4cd5-8c07-5d4cec71f533,16,13,35,0
8,4dc7213e-b62b-4854-982d-5065c8f5edc0,13,11,35,0
8,fa9493cf-0222-4f1e-a617-8589ed3e336e,0,9,35,0
8,7386bd4e-d426-4e17-9fb2-62b1aac22a10,10,10,35,0
8,28308bb0-02f9-4b3e-8346-dfe160b30979,5,12,35,0
8,37cbbaf8-fde0-42a4-8b7a-ca0d919db8a9,10,7,35,0
8,7de39446-1668-47fb-a84b-7acc8b5def1d,4,12,35,0
8,1494c05b-28f1-4717-aaf0-8dbf2a17e2f1,19,8,35,0
8,e24b9ec9-21ee-4799-8277-81aa5ccf3303,4,4,35,0
8,2a286618-4b7b-4e08-9f64-e59b2e44e174,13,10,35,0
8,e1c61b57-456e-4478-a30b-60e7eb366cf1,5,9,35,0
8,a09da75d-f5f8-4870-ac7c-343b0c3e2e45,5,14,35,0
8,2171aba9-235c-4455-9872-4f20887502c0,10,16,35,0
8,746a32cd-fbb4-42d8-b2a2-5678a9f5cfb9,18,10,35,0
8,1263bcff-43d7-4dfa-b216-11729565feb0,9,15,35,0
8,5fa664f0-91cf-4804-862b-a46872f00ae2,19,7,35,0
8,e60fb399-e5b9-4fdd-9217-9b07e40a297a,17,16,35,0
8,8ae73084-ed3f-4e07-888a-f35d4b6b732d,16,5,35,0
8,cbba9ab1-b0e5-40f3-86f9-e26c47735833,13,4,35,0
8,cb790b06-54f5-4218-a549-78d1a30bfcdf,15,19,35,0
8,067566ce-d17d-4a2d-9ee1-e20a4542c844,2,5,35,0
8,3fcd3563-fffb-4fe2-b04c-20434ae4c55a,14,0,35,0
8,065d927a-5750-428d-b0ba-4c8fdd1b8a3a,3,4,35,0
8,298c54b4-72bf-423f-bac2-9472f474d36e,14,8,35,0
8,e45f1d6e-9ce0-4001-b322-4c87b0339918,11,12,35,0
8,be4458a4-ea19-44a8-a34f-c100b579345f,18,12,35,0
8,86155a73-2930-4405-b715-3d7391068753,5,4,35,0
8,bf4e4d38-75d0-4cca-ab93-cd7a6efcff24,16,7,35,0
9,3fb9d278-57ec-4088-8909-4e87133f92bd,14,3,32,0
9,87a672f3-db0f-4cde-9ba1-bc97ee5859f8,14,15,32,0
9,0b00bbbc-0fa5-417a-84c3-3e34274ba0f5,16,14,32,0
9,344bceaa-552c-4c5d-8d6f-bcb38bc14c35,8,15,32,0
9,d2a36b3a-2595-418a-b009-ffb1f11067ab,3,5,32,0
9,96d3db2f-8fbc-4f9a-908a-45c01431889f,7,7,32,0
9,2f155487-7a8a-4365-a969-da915436c18f,8,11,32,0
9,6b2699f6-6db4-4ffe-9947-3d8fa0b6893c,6,11,32,0
9,756b837a-2728-4401-ba2c-64631ec85886,6,10,32,0
9,0aeb9fdc-d2e4-4faf-a58f-40366838fde0,3,6,32,0
9,621b86f9-0d14-4826-9fbb-acab6d6112ed,1,6,32,0
9,2c74984d-86e3-441a-a4fe-3a9817de4810,15,16,32,0
9,95432033-70ac-4cd5-8c07-5d4cec71f533,17,13,32,0
9,4dc7213e-b62b-4854-982d-5065c8f5edc0,12,11,32,0
9,fa9493cf-0222-4f1e-a617-8589ed3e336e,0,8,32,0
